Grupo,Categoria,Nombre,Precio,Cantidad,unidad-medida,Precio-und-medida
"Aceite, especias y salsas >","Aceite, vinagre y sal","Aceite de oliva 0,4º Hacendado","24,00 €",/ud.,Garrafa 5 L ," 4,80 €/L"
"Aceite, especias y salsas >","Aceite, vinagre y sal","Aceite de oliva 0,4º Hacendado","5,00 €",/ud.,Botella 1 L ," 5,00 €/L"
"Aceite, especias y salsas >","Aceite, vinagre y sal",Aceite de oliva virgen extra Hacendado,"18,00 €",/ud.,Garrafa 3 L ," 6,00 €/L"
"Aceite, especias y salsas >","Aceite, vinagre y sal",Aceite de oliva virgen extra Hacendado,"6,05 €",/ud.,Botella 1 L ," 6,05 €/L"
"Aceite, especias y salsas >","Aceite, vinagre y sal",Aceite de oliva virgen extra Hacendado Gran Selección,"5,15 €",/ud.,Botella 750 ml ," 6,867 €/L"
"Aceite, especias y salsas >","Aceite, vinagre y sal",Aceite de oliva 1º Hacendado,"24,00 €",/ud.,Garrafa 5 L ," 4,80 €/L"
"Aceite, especias y salsas >","Aceite, vinagre y sal",Aceite de oliva 1º Hacendado,"5,00 €",/ud.,Botella 1 L ," 5,00 €/L"
"Aceite, especias y salsas >","Aceite, vinagre y sal",Aceite de oliva virgen Hacendado,"16,20 €",/ud.,Garrafa 3 L ," 5,40 €/L"
"Aceite, especias y salsas >","Aceite, vinagre y sal",Aceite de oliva virgen Hacendado,"5,55 €",/ud.,Botella 1 L ," 5,55 €/L"
"Aceite, especias y salsas >","Aceite, vinagre y sal",Aceite de oliva virgen extra Hacendado,"2,40 €",/ud.,Spray 200 ml ," 12,00 €/L"
"Aceite, especias y salsas >","Aceite, vinagre y sal",Aceite de oliva virgen extra Picual Casa Juncal,"4,68 €",/ud.,Botella 500 ml ," 9,36 €/L"
"Aceite, especias y salsas >","Aceite, vinagre y sal","Aceite de girasol refinado 0,2º Hacendado","8,75 €",/ud.,Garrafa 5 L ," 1,75 €/L"
"Aceite, especias y salsas >","Aceite, vinagre y sal","Aceite de girasol refinado 0,2º Hacendado","1,85 €",/ud.,Botella 1 L ," 1,85 €/L"
"Aceite, especias y salsas >","Aceite, vinagre y sal",Aceite de coco virgen Hacendado,"4,40 €",/ud.,Bote 450 ml ," 9,778 €/L"
"Aceite, especias y salsas >","Aceite, vinagre y sal",Vinagre de vino blanco Hacendado,"0,65 €",/ud.,Botella 1 L ," 0,65 €/L"
"Aceite, especias y salsas >","Aceite, vinagre y sal",Vinagre balsámico de Módena Hacendado,"1,15 €",/ud.,Botella 250 ml ," 4,60 €/L"
"Aceite, especias y salsas >","Aceite, vinagre y sal",Vinagre de manzana Hacendado,"0,80 €",/ud.,Botella 1 L ," 0,80 €/L"
